S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
222,ADILABAD(1),ADILABAD,Telangana,GODAM NAGESH,568168,90652,S291,369
162,AGRA(18),AGRA,Uttar Pradesh,PROF S P SINGH BAGHEL,599397,271294,S2418,369
33,AHMEDABADEAST(7),AHMEDABADEAST,Gujarat,HASMUKHBHAI PATEL (H.S.PATEL),770459,461755,S067,369
34,AHMEDABADWEST(8),AHMEDABADWEST,Gujarat,DINESHBHAI MAKWANA (ADVOCATE),611704,286437,S068,369
6,AHMEDNAGAR(37),AHMEDNAGAR,Maharashtra,NILESH DNYANDEV LANKE,624797,28929,S1337,3620
142,AJMER(13),AJMER,Rajasthan,BHAGIRATH CHOUDHARY,747462,329991,S2013,369
173,AKBARPUR(44),AKBARPUR,Uttar Pradesh,DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345,S2444,369
111,AKOLA(6),AKOLA,Maharashtra,ANUP SANJAY DHOTRE,457030,40626,S136,369
32,ALAPPUZHA(15),ALAPPUZHA,Kerala,K. C VENUGOPAL,404560,63513,S1115,742
1,ALATHUR(9),ALATHUR,Kerala,K.RADHAKRISHNAN,403447,20111,S119,547
159,ALIGARH(15),ALIGARH,Uttar Pradesh,SATISH KUMAR GAUTAM,501834,15647,S2415,369
187,ALIPURDUARS(2),ALIPURDUARS,West Bengal,MANOJ TIGGA,695314,75447,S252,369
83,ALLAHABAD(52),ALLAHABAD,Uttar Pradesh,UJJWAL RAMAN SINGH,462145,58795,S2452,742
219,ALMORA(3),ALMORA,Uttarakhand,AJAY TAMTA,429167,234097,S283,369
141,ALWAR(8),ALWAR,Rajasthan,BHUPENDER YADAV,631992,48282,S208,369
4,AMALAPURAM(SC)(7),AMALAPURAM(SC),Andhra Pradesh,G M HARISH (BALAYOGI),796981,342196,S017,1745
9,AMBALA(1),AMBALA,Haryana,VARUN CHAUDHRY,663657,49036,S071,742
24,AMBEDKARNAGAR(55),AMBEDKARNAGAR,Uttar Pradesh,LALJI VERMA,544959,137247,S2455,1680
82,AMETHI(37),AMETHI,Uttar Pradesh,KISHORI LAL,539228,167196,S2437,742
39,AMRAVATI(7),AMRAVATI,Maharashtra,BALWANT BASWANT WANKHADE,526271,19731,S137,742
40,AMRELI(14),AMRELI,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,580872,321068,S0614,369
